StoreName,Review,Keywords_Sentiments
정육면체 신촌,원래 신촌에 갈 일 있을때마다 들러서 마라새우면을 즐겨먹었는데.. 오랜만에 친구랑 가서 백탕이랑 마라새우면 유린기를 시켰는데.. 백탕이 진짜 너무 짜더라구요 유린기도 좀 짠 편이었고 마라새우면의 면도 좀 바뀐 것 같았어요 짠 거는 오늘만 조리가 잘못된 거라고 생각하고 다음에 한번 정도는 더 가볼 생각입니다,"백탕(Negative), 마라새우면(Positive), 마라새우면 면(Negative), 유린기(Negative)"
김판석초밥,여자친구랑 먹으러 왔는데스시 양이 많습니다단순히 갯수가 많다는게 아니라 위에 올라가는 생선 살들이 양이 커요분위기도 조용하고 한분 한분 굉장히 정성스럽게 만들어주십니다또 맛집이라 그런지 배달 주문도 많이 들어오는데기다릴 보람이 있는 곳 입니다근방 초밥집 찾으신다면 꼭 여기로 한번쯤 오셔요정말 좋습니다,"스시 양이 많습니다(Positive), 분위기도 조용하고(Positive), 정성스럽게 만들어주십니다(Positive), 배달 주문도 많이 들어옵니다(Positive), 기다릴 보람이 있는 곳 입니다(Positive)"
서울뼈구이매운족발,안매운맛 먹었는데 느끼해요 그냥 그래요,"안매운맛(Negative), 느끼해요(Negative), 그냥 그래요(Negative)"
김광석신촌칼국수,별점높은만큼은 맛없었어요 별점 낮추려고 별1개로..,맛(Negative)
정육면체 신촌점,아 진짜 맛있어요 최고,맛(Positive)
호랑이도삭면,도삭면 처음 먹어봤는데 쫄깃하고 맛있어요!! 혼밥하기도 좋을 것 같아요 !!,"도삭면(Positive), 쫄깃하고 맛있어요(Positive), 혼밥하기 좋을 것 같아요(Positive)"
회기왕족발보쌈,소주 맥주 막걸리 5000원,가격(Positive)
거복이식당,너무 맛있습니다!!밑반찬도 다양하게 너무 잘 나오고기본으로 순두부찌개 나오는 것도 너무 좋아요고기도 다 구워주십니다 최고 !!,"맛(Positive), 밑반찬 다양성(Positive), 순두부찌개(Positive), 서비스(Positive)"
라구식당 신촌,밥약의 성지. 맛있는데 가격이 좀 부담스럽긴 해요,"맛(Positive), 가격(Negative)"
아건 이대본점,처음 방문했는데 너무 맛있고 구성이 좋아요.자주 올것같습니다!!! 난 최고 맛집,"맛있고(Positive), 구성이 좋아요(Positive), 최고 맛집(Positive)"
오늘통닭 신촌직영점,치킨이 너무 바삭하고 맛있어요! 양이 생각보다 많아서 놀랐어요,"치킨 바삭하다(Positive), 맛있다(Positive), 양이 많다(Positive)"
혜성칼국수,멸치 하나 닭 하나 먹었습니다.1. 국물 멸치 닭육수 간 크나큰 차이가 안느껴짐 평소 멸칼파 2. 면 보통의 손칼국수스럽지 않음. 야들야들하지 않고 평평한 면을 나란히 썰은 느낌.3. 김치 갓 담은 듯 신선한 겉절이 느낌.4. 다대기 강한 마늘맛 마늘 다대기 넣으면 더 색다른 맛5. 속도 사리 시키는 분들은 최초 주문 시 시켜야함. 다 먹고 추가 사리 주문 시 새로 끓이느라 오래 걸림6. 한번 방문으로 족함,"국물 멸치 닭육수 간 크나큰 차이가 안느껴짐(Negative), 면 보통의 손칼국수스럽지 않음(Negative), 김치 갓 담은 듯 신선한 겉절이 느낌(Positive), 다대기 강한 마늘맛(Positive), 사리 추가 주문 시 오래 걸림(Negative)"
대성이네,2명이서 먹었는데 양 엄청 먾고 맛있어요!!깻잎도 듬뿍 들어가 있어서 좋았어요특히 이 계란이 진짜 맛있는 것 같아요,"양(Positive), 맛(Positive), 깻잎(Positive), 계란(Positive)"
여기가좋겠네,아 존맛탱! 여기 왜 이제야 안거지???? 추천 하고 가염,"존맛탱(Positive), 추천(Positive), 왜 이제야 안거지(Negative)"
가야가야,맥주 맛있어요!! 라면은 평범하게 맛있습니다 면추가 되면 좋을것같아요 더먹고싶었어요!,"맥주 맛(Positive), 라면 맛(Positive), 면추가 가능성(Negative)"
쿳사 연희,음식 다 맛나요의자 조금불편하고 테이블이 좁아요2인이 가는것을 추천해요..,"음식(Positive), 의자(Negative), 테이블(Negative)"
성화금탕마라탕.튀김꼬치,마라탕도 맛있지만 꿔바로우도 존맛탱임 완전단골,"마라탕(Positive), 꿔바로우(Positive), 단골(Positive)"
호랑이도삭면,맛있어요!!!강추!!!!,"맛있어요(Positive), 강추(Positive)"
수저가,여기는 차돌이 기본으로 들어감.그래서 깔끔한 짬뽕 느낌은 아님.즉석짬뽕 스타일이고 야채식감 굿 그리고 양 많고 후식으로 음료수 한 캔 줌.가성비가 일품인 곳탕수육은 가격이 비쌈.사이드 메뉴는 약한 곳,"차돌이 기본으로 들어감(Negative), 야채식감 굿(Positive), 양 많고 후식으로 음료수 한 캔 줌(Positive), 가성비가 일품(Positive), 탕수육은 가격이 비쌈(Negative)"
이모네왕파전,예전에 비해 파전 대파 비중이 줄고 배추가 많이 들어갔고 사진보면 보이듯이 절반정도 반죽이 안익어서 바삭하지않고 물렁했어요. 그래도 파전은 그럭저럭 맛있게 먹었는데 곱창전골이 진짜 심했어요. 먹자마자 곱창 쉰내가 나는게 인기없는 메뉴라 그런지 재료 상태가 안좋았던 것 같아요. 오랜만에 왔는데 여전히 가성비는 좋지만 퀄리티관리가 안되는 것 같아서 아쉬웠어요,"파전 대파 비중 감소(Negative), 반죽이 안익어서 물렁함(Negative), 곱창전골 재료 상태(Negative), 가성비(Positive), 퀄리티 관리(Negative)"
아민 이화,비건레스토랑 신기한 음식,"비건레스토랑(Positive), 신기한 음식(Positive)"
이상한떡볶이집,김볶 지림,김볶(Positive)
봄의정원 회기점,늘 예약하고 방문하는 곳입니다 ️ 시그니처메뉴인 떡볶이는 늘 맛있습니다! 옥수수퓨레 포크 스테이크도 너무 맛있었어요,"시그니처메뉴인 떡볶이(Positive), 옥수수퓨레 포크 스테이크(Positive)"
마루한,돼지갈비 맛집 마루한에 가족 외식하러 방문했어요! 식사메뉴도 다양해서 고기 먹은 후에 든든하게 식사도 함께 하였습니다 육회비빔밥 특으로 시켰는데 육회 양도 엄 청 많아서 배터지게 먹었어요 가게도 쾌적하고 음식도 맛있고 직원분들도 친절하셔서 기분좋은 외식 할 수 있었네요,"돼지갈비 맛집(Positive), 식사메뉴 다양(Positive), 가게 쾌적(Positive), 음식 맛있음(Positive), 직원 친절(Positive)"
미스터왕만두 이대,찐만두 소룡포 군만두 큼직하고 푸짐한 느낌의 만두라 좋네요,"찐만두(Positive), 소룡포(Positive), 군만두(Positive), 큼직하고 푸짐한 만두(Positive)"
분99 외대점,분짜랑 양지쌀국수 먹었는데 국물 원샷할 정도로 맛있었어요! 쌀국수 면은 분짜면이랑 다르게 넓적한면이에요 재방문의사 있음,"분짜(Positive), 양지쌀국수(Positive), 국물(Positive), 맛있었어요(Positive), 재방문의사 있음(Positive)"
수저가,초심잃어서 슬퍼요.. 1년전 재료바뀌기전엔 웨이팅 기다릴정도로 정말 맛있었는데 바뀐이후로 안가게 됩니다,"초심(Negative), 재료(Negative), 맛(Negative), 기다릴 정도(Positive)"
쭈꾸미블루스 신촌본점,사장님 장사 그렇게 하지 마세요. 좋은 리뷰만 쓰는데 너무 화나서 남깁니다. 12명 사전에 예약 후 방문했는데 음식은 미리 준비도 안되어 있고 시간지나도 테이블 반 밖에 안나오고 주문좀 하려하면 기다리라고 화내고. 눈치보여서 알바생분께만 주문했네요. 가게도 조금한데 단체손님 하나 커버 못하실거면 직원을 더 뽑으세요. 가게는 또 얼마나 더운지 참고 더 먹으려다가 승질나서 다같이 나왔습니다. 그리고 계산하는데 알바분한테 술병갯수 다시 셋냐고 똑바로 세라고 손님 앞에서 그러는데 오히려 안마신 술 더 달아놓으셔서 내역에서 빼고 계산했어요... 여튼 최악이였습니다. 음식맛은 맛있지도 맛없지도 않았습니다. 참고하세요,"음식 준비(Negative), 서비스 태도(Negative), 가게 온도(Negative), 알바생 대우(Negative), 음식 맛(Neutral)"
수저가,차돌짬뽕 마늘탕수육 최고존엄,"차돌짬뽕(Positive), 마늘탕수육(Positive)"
오늘통닭 신촌직영점,콘치즈폭탄 너무 맛있어요! 외국인 친구도 아주 좋아했어요! 추천추천이에요,"콘치즈폭탄(Positive), 외국인 친구도 아주 좋아했어요(Positive), 추천추천이에요(Positive)"
하늘초밥,드디어먹어보메요,"드디어(Positive), 먹어보(Positive)"
롤앤롤김밥,호두페스토 김밥 먹었어요 ! 소스가 강해서 페스토 맛이 강하지 않은 편입니다 여기 김밥은 항상 맛나요!!!,"호두페스토 김밥(Positive), 소스(Negative), 김밥 맛(Positive)"
쭈꾸미블루스 신촌본점,쭈꾸미가 예술이에요! 친구가 쭈꾸미 맛집 있다고 추천해줘서 왔는데 완전 제가 딱 좋아하는 감성의 맛집이에요 오랜만에 친구들끼리 수다떨고 술 한잔 했습니다 너무 분위기 좋고 한 번 더 오고싶다는 생각을 했어요 쭈꾸미를 비롯해서 무한리필로 주시는 홍합탕까지.. 거를 타선이 없습니다.. 잘 먹었어요!,"쭈꾸미(Positive), 맛집(Positive), 분위기(Positive), 홍합탕(Positive), 무한리필(Positive)"
스키당 대흥점,위치도 좋고 음식 깔끔하고 맛있습니다.가격은 조금 있지만 적당한 만남의 자리로 좋아요,"위치(Positive), 음식 깔끔(Positive), 맛있다(Positive), 가격 조금 비싸다(Negative)"
수저가,홀 아주머니들 반찬 리필도 물어봐주시고 매우 친절 차돌과 면이 타 업장 대비 푸짐함위 두 가지는 맞는데 맛은 솔직히 너무 평범합니다. 차돌도 많이 들어갔는데 왜일까요? 평점 4점 넘을 정도는 아니라 낮추고 갑니다. 학생들 입장에서는 양많고하니 자주 찾는 것 같습니다.,"홀 아주머니들 친절(Positive), 반찬 리필 서비스(Positive), 차돌과 면 양 푸짐함(Positive), 평범한 맛(Negative), 평점 4점 넘지 않음(Negative)"
삭 이대,튀김너무 맛있어요!,"튀김(Positive), 맛있어요(Positive)"
안녕유부,아이들과 행복한 식사 시간이 되었어요 감사합니다,"아이들과(Positive), 행복한 식사 시간(Positive), 감사합니다(Positive)"
호랑이도삭면,빠르고 맛있어용,"빠르다(Positive), 맛있다(Positive)"
이모네왕파전,음식맛 아시는 분은 절대 가지마세요,음식맛(Negative)
서울뼈구이매운족발,뼈구이 맛있어요 재방문 의사있음 중간맛 추천,"뼈구이 맛있어요(Positive), 재방문 의사있음(Positive), 중간맛 추천(Positive)"
샤로스톤,유럽여행할때 골목골목 돌아다니다가 이쁜가게 같이 생긴 외관에 이끌려 들어가게되었는데 스테이크 집이라니 블로그를 보니 규카츠와 살치살 추천이 많아서 시켜보았습니다 ! 가격대비 너무 만족해서 리뷰 쓰게 되었습니다 !신입생 아카데미겸 왔는데 3월에 다시 올께요,"이쁜가게 같이 생긴 외관(Positive), 가격대비 너무 만족(Positive), 규카츠와 살치살 추천(Positive)"
회기왕족발보쌈,김치는 보통 보쌈집보다는 맛있는데 보쌈 양이 적음,"김치(Positive), 보쌈집보다는 맛있다(Positive), 보쌈 양이 적음(Negative)"
롤앤롤김밥,처음엔 소문만 크게 났다고 생각했어요. 잡채는 너무 맵고 계란은 안에 계란 무스 같은 부분은 왜 들어간 건지 이유가 궁금해지는 맛인데요. 한 달 지나고 나니 계속 생각이 나네요.. 곧 재방문 할 듯 가끔은 괜찮은 것 같아요. 포장 방식이 바뀌었으면 좋겠네요,"잡채(Negative), 계란 무스(Negative), 재방문(Positive), 포장 방식(Negative)"
가야가야 이대,일단 짭니다. 차슈 별로입니다. 불향 확실하고 가격대비 상관없이 맛은 있었습니다. 불친절하지는 않고 그냥 그렇습니다. 전체적으로 청소가 깨끗이 되어 있지는 않네요. 개인적으로는 차슈랑 계란 포함하면 만원대인데 다시 가고 싶지는 않습니다. 계란과 국물의 조화는 좋았습니다.,"짭니다(Negative), 차슈 별로입니다(Negative), 불친절하지는 않고 그냥 그렇습니다(Negative), 청소가 깨끗이 되어 있지 않네요(Negative), 계란과 국물의 조화는 좋았습니다(Positive)"
오늘통닭 신촌,치킨삼총사 비추합니다,치킨삼총사(Negative)
샤로스톤,수업끝나고 점심먹으러 들렀는데 역시 소문대로 유명한 외대 맛집이었어요!! 질 좋은 고기들 부위별로 설명도 잘 되어있고 밥이랑 김치도 무한리필이어서 배부르게 먹고갑니다 ! 사장님도 친절하시고 페브리즈 비치하신것도 마음에 들었어요 종종 기분내는 스테이크 맛집으로 추천합니다! !!,"외대 맛집(Positive), 질 좋은 고기(Positive), 무한리필(Positive), 사장님 친절(Positive), 페브리즈 비치(Positive)"
가야가야,와. 역시!!!,역시(Positive)
아건 이대,주맛탱 인도 커리입니다. 난 맛 없는 곳도 많은데 여기는 식감 맛 모두 미쳤고 커리 말할것도 없어요. 과식했습니다 진짜 맛있어요. 가격도 너무나 합리적이고 사장님도 친절하세요! 근처 가면 또 방문할 것 같습니다. 잘먹었습니다!,"난 맛(Positive), 커리 맛(Positive), 가격(Positive), 사장님 친절함(Positive)"
김광석신촌칼국수,블로그에 올리려고 텍스트도 넣었는데 블로그에 업로드하는 걸 까먹음친절하시고 음식도 맛있어요엄청난 맛집인지는 잘 모르겠지만 자부심이 매우 대단하심고기는 사실 잘 모르겠고 면은 인정합니다다대기도 깔끔한 맛이어서 호불호가 크게 안 갈릴 집,"친절하시고(Positive), 음식도 맛있어요(Positive), 자부심이 매우 대단하심(Positive), 면은 인정합니다(Positive), 다대기도 깔끔한 맛(Positive)"
싸왓디타이,태국의 참 맛을 느낄 수 있어서 좋았어요. 태국 현지 맛이에요. 다음에 또 올거에요. 양도 많이 주시고 친절하셔서 감사했어요. 리뷰로 모히또까지 주시고 잘 먹었습니다.,"태국의 참 맛(Positive), 태국 현지 맛(Positive), 양이 많음(Positive), 친절한 서비스(Positive), 모히또 제공(Positive)"
브레드칸 청량리점,너무갈증나서들어간빵집 빵도먹고싶었지만시원한팥빙수가더간절했네요,"빵집(Positive), 팥빙수(Positive)"
브레드칸 청량리점,시몬빵 맘모스빵 맛집.맘모스빵 좀 많이 만들어주세요 제발...,"맘모스빵(Positive), 맛집(Positive), 제발...(Negative)"
라구식당,식당 분위기가 엄청 좋고 음식도 다 맛있어요! 특히 라자냐는 꼭 먹어야해요,"식당 분위기(Positive), 음식 맛(Positive), 라자냐(Positive)"
언니네함바그,양이 많아요 포장하면 2끼 먹을수 있어여 매콤함바그,"양이 많아요(Positive), 매콤함(Positive)"
153스트리트,매장에서 먹는건 종이포장 없이 나오는데 기름뚝뚝 떨어지고 손에 엄청 묻음예전에 배달 시켰을 땐 맛있었는데 이번엔 너무 느끼해서 별로였음매장 안에 휴지도 배치 안돼있고 종업원은 한국말을 하는건지 외국어를 하는건지 구분도 안갈 말을 해서 알아듣기 힘들음,"종이포장 없이 나오는 음식(Negative), 기름뚝뚝 떨어지다(Negative), 손에 엄청 묻음(Negative), 이번엔 너무 느끼하다(Negative), 매장 안에 휴지 배치 안돼있다(Negative), 종업원 말 알아듣기 힘들다(Negative)"
쭈꾸미블루스 신촌본점,네이버지도에서 검색하고 갔는데 위생이 무척 아쉬웠습니다 벽지 다 기름과 소스로 오염되어 있고 인테리어 되어있는 장식품들도 먼지가 많이 쌓여있었습니다. 레트로란 명목 아래 위생관리를 회피하고 있는 것 같네요,"위생(Negative), 벽지 오염(Negative), 장식품 먼지(Negative), 레트로 명목 위생관리 회피(Negative)"
쿳사 연희,진짜 맛있어요!!!! 여기가 호주입니다 수 많은 에그 베네딕트를 먹어봤지만 거의 탑입니다 인도네시아 스타일 볶음밥 이름 기억이.. 이것도 진짜 발리에 온 느낌이에여!!!,"맛있다(Positive), 에그 베네딕트(Positive), 탑(Positive), 인도네시아 스타일 볶음밥(Positive), 발리에 온 느낌(Positive)"
망우로30,인테리어 예쁘고 분위기있어요.좌석도 생각보단 많았는데 만석이었어요👍,"인테리어(Positive), 분위기(Positive), 좌석(Positive), 만석(Positive)"
아민 이화,가격이 조금 애매해요..!,가격(Negative)
브레드칸 청량리점,싸고 맛있긴 한데... 너무 달아요. 재료 질이 그렇게 좋진 않은것 같은 느낌 먹고나면 너무 달아서 피곤함,"싸고 맛있다(Positive), 너무 달다(Negative), 재료 질이 좋지 않다(Negative), 너무 달아서 피곤하다(Negative)"
공복식당 신촌점,직원분들도 너무 친절하시고 고기도 너무 맛있았어요!!! 안바쁘시면 직접 구워주시기도 하셔서 넘넘 좋았습니당,"직원분들 친절(Positive), 고기 맛있음(Positive), 직접 구워주심(Positive)"
정정,냉동 음식 해동해서 파는 맛,"냉동 음식(Negative), 해동해서 파는 맛(Negative)"
아건 이대본점,인도 현지분이 운영하셔서 그런지 더 맛있고 분위기도 색다르고 좋아요! 버터마살라커리 최고네용 허니난 꿀맛이에요!!,"맛(Positive), 분위기(Positive), 버터마살라커리(Positive), 허니난(Positive)"
을밀대 본점,평냉집 중 제일 맛있는건 인정! 그런데 맛이 변했다! 원래 조선시대 msg이 없던 시절 냉면맛을 기대하고 가는곳인데 최근에 갔을땐 간이 느껴짐! 심지어 무절임에도 설탕맛이.... 그래서 그런지 예전엔 어르신 손님들이 대부분이였는데 요즘은 젊은이들만 오는곳이 된듯해서 아쉬움!,"제일 맛있는 냉면(Positive), 맛이 변했다(Negative), 간이 느껴짐(Negative), 무절임 설탕맛(Negative), 어르신 손님들이 줄고 젊은이들만 오는곳(Negative)"
무초타코,간단히 먹기 너무 좋은 것 같아요 새우 돼지 소 타코 다 너무 맛있습니다!!!!! 추천이에요💕💕,"간단히 먹기 좋은(Positive), 새우 돼지 소 타코(Positive), 맛있습니다(Positive)"
독,도사락이 2000원이고 김치냉국수가 3000원이라니.. 이건 꼭 먹어야 합니다. 가성비 진짜 너무 좋고 사이드 메뉴도 너무 좋아요.,"가성비(Positive), 사이드 메뉴(Positive)"
후루사토,진짜 단골하고 싶은 곳! 나만 알고 싶은곳 너무 맛있었습니다,"단골하고 싶은 곳(Positive), 나만 알고 싶은 곳(Positive), 너무 맛있었습니다(Positive)"
아건 이대본점,초등학교 1학년 아이와 함께 왔는데 너무 잘 먹고 갑니다.버터치킨 최고에요!,"아이와 함께(Positive), 버터치킨(Positive)"
거복이식당,직접 구워주시니까 넘 편해용 순두부찌개가 기본으로 나오는 것도 좋아여❤️,"직접 구워주시다(Positive), 순두부찌개 기본 제공(Positive)"
스키당 대흥점,이브날 가족이랑 방문했는데 맛있게 잘먹고갑니다!직원호출시 응대가 조금더 신속했으면 하는 바램이 있네요 음식은 맛있었어요 또올게요,"맛있게 잘 먹고(Positive), 응대 신속성(Negative), 음식 맛(Positive)"
정육면체 신촌,맛있긴 하나 호들갑떨거나 웨이팅 하면서 먹을 정도는 아닌듯함,"맛있다(Positive), 호들갑떨다(Negative), 웨이팅(Negative)"
오르랔베이커리 이대,여자직원 겁나 불친절 나가고 들어가고 인사 일절 없고 계산하기 전부터 마감시간 말하면서 빨리 가라 눈치줌안 가요,"여자직원 불친절(Negative), 인사 일절 없고(Negative), 마감시간 말하면서 눈치줌(Negative)"
신락원 시립대,근방 최고 중식당,"맛(Positive), 위생(Positive), 서비스(Positive), 분위기(Positive)"
김숙성 대흥본점,정말 맛있게 잘먹었습니다. 많이 파세요,맛있게 잘먹었습니다(Positive)
롤앤롤김밥,맛있어요. 가격도 요새 김밥집에 비하면 괜찮은 편입니다. 재료 추가 하는게 있어서 좋아요.,"맛있어요(Positive), 가격 괜찮은 편(Positive), 재료 추가(Positive)"
카츠업,김치나베 맛있어요,김치나베(Positive)
라구식당,라구가 맛있는 라구식당! 메뉴는 딱 두가지 라구 파스타와 라자냐 입니다. 바게트빵이랑 샐러드는 곁들어 먹기 괜찮고 파스타는 건강한 ? 이태리 가정식 느낌 나요. 상상속 이태리 할머니가 만들어줄거 같은 개인적으로 바게트빵이 조금 더 촉촉하면 맛있을거 같아요 라구가 고기가 많이 들어가서 그런지 토마토소스가 그렇게 넉넉하지 않아서 빵이랑 먹으면 조금 퍽퍽하더라구요. 라자냐도 괜찮았는데 식으면서 치즈가 굳어서 나중에 다시 오븐에 뎁혀서 먹으려고 포장해갔습니다. 직원분들 친절하시고 음식도 바로바로 나와서 좋았어요.,"라구가 맛있는(Positive), 바게트빵이랑 샐러드는 곁들어 먹기 괜찮고(Positive), 빵이랑 먹으면 조금 퍽퍽하더라구요(Negative), 직원분들 친절하시고 음식도 바로바로 나와서 좋았어요(Positive), 라자냐도 괜찮았는데 치즈가 굳어서(Negative)"
여기가좋겠네,가성비가 좋습니다.,가성비(Positive)
스키당 대흥점,방문전에는 조금 비싼듯 싶었지만 막상 가보니 분위기 맛 친절 뭐 하나 빠짐없이 돈아깝지 않은 완벽한 식사였습니다. 일본에서 먹었던 스키야키의 맛을 여기서 경험하네요. 종종 방문하고싶어요. 행복한 시간이었습니다.,"분위기(Positive), 맛(Positive), 친절(Positive), 돈아깝지 않은(Positive), 완벽한 식사(Positive)"
수저가,저는 원래 교동짬뽕이나 지존짬뽕같은 맵고 강렬한 맛의 짬뽕을 더 선호하지만 이곳은 깔끔한 국물에 고기도 많아서 종종 즐겨먹습니다,"깔끔한 국물(Positive), 고기 많음(Positive), 맵고 강렬한 맛 선호(Negative)"
은하곱창,한 17년? 18년 먼에 오랜만에 갔는데 대기도 생기고 핫풀이 되어있네요,"대기(Positive), 핫플(Positive)"
쿳사 연희,플레이팅 예쁜 브런치여유있는 기분 내기 좋았다,"플레이팅(Positive), 예쁜 브런치(Positive)"
소바연구소 신촌본점,감사합니다 맛있어요!,맛있어요(Positive)
안녕유부,매번 스시집에서 먹던 타코와사비를 유부집에서 먹다니..크기와 맛 다 만족해요.꾸준히 와서 유부 종류별로 다 먹어보고 싶어요.,"타코와사비(Positive), 크기(Positive), 맛(Positive)"
정각,특별한 날 추천해요우선 분위기 너무 좋고요.음악ㆍ조명 ㆍ인테리어까지 무엇 하나 빠지지 않아요.그리고 음식은 말해 뭐해요 묵은지조개오일파스타 최고 강추요소식쟁이 남편이 맛나다며 국물까지 싹 비웠네요.묵은지와 조개의 조합이 너무 의외로 훌륭했구요.거기에 한잔하는 와인까지 이글 쓰는데도 또 생각나는 맛이네요.정말 맛나고 묵은지조개오일파스타 먹으러 다시 오자했네요.그리고 핏자도 페스츄리에 반죽에 치즈 가득 올라왔는데 떡볶이도 그렇고 정말 최고의 맛과 비주얼로데이트 느낌 제대로 행복한 데이트였네요.정말 묵은지조개오일파스타 짱!!꼭 이건 추천해봅니다,"분위기(Positive), 묵은지조개오일파스타(Positive), 음식(Positive), 와인(Positive), 데이트(Positive)"
강남불백 신촌,깔끔하고 맛깔스럽게 차려지는 상차림이 좋아요 고기양도 많아서 넉넉하게 잘 먹고 왔어요. 뭣보다 맛있어요!!,"깔끔하고 맛깔스럽게 차려지는 상차림(Positive), 고기양도 많다(Positive), 맛있다(Positive)"
카츠업,넘 맛나요 진짜 최고,"맛나요(Positive), 최고(Positive)"
김숙성 대흥본점,회사 근처라서 자주 와요 고기 질이 너무 좋고 맛있고 직원분들이 다 너무 친절하세요 🤍 잘먹었습니다,"고기 질(Positive), 맛있고(Positive), 직원분들이 친절하세요(Positive)"
여기가좋겠네,또 먹으러 왔습니다 양 많아서 반마리로도 두 명이서 먹기 딱이네요 가성비 좋고 맛도 있어서 손님들이 언제나 많아요,"양 많아서(Positive), 가성비 좋고(Positive), 맛도 있어서(Positive), 손님들이 언제나 많아요(Positive)"
강남불백 신촌점,크으 된장찌개에 불고기 흑미밥 조합 최고! 다양한 메뉴구성도 맘에 들어요,"된장찌개(Positive), 불고기(Positive), 흑미밥(Positive), 메뉴 구성(Positive)"
수저가,양 미쳤고 가격 미쳤고 면 건더기 국물 미쳤고쾌적하고 친절해요 !!혼밥하기에도 좋아요 !,"양(Positive), 가격(Positive), 면 건더기 국물(Positive), 쾌적함(Positive), 친절함(Positive)"
삭 이대,맛있다 맛있어튀김도 맛있고 떡볶이가 매콤해서 느끼해질때쯤 같이 먹으면 조합이 너무 좋다아,"튀김도 맛있고(Positive), 떡볶이가 매콤해서(Positive), 조합이 너무 좋다(Positive)"
신락원,자주가는곳이예요,자주가는곳(Positive)
샤로스톤,소리 ASMR 살치살 19 0규카츠 19 9하이볼 6 5맛나용 👍,"살치살(Positive), 규카츠(Positive), 하이볼(Positive), 맛(Positive)"
아건 이대본점,어 맛있어요.,맛있어요(Positive)
파치,치킨이랑 파스타 하나씩 시켰는데 둘이 먹기에 딱 좋은 양이었던 거 같아요 그리고 치킨이랑 파스타 둘 다 맛있고 꽤 잘 어울려서 좋은 것 같아요!!,"양(Positive), 치킨(Positive), 파스타(Positive)"
