가게명,Review
회기왕족발보쌈,어쩌다 세 번 갔는데 갈 때마다 막국수 강매가 너무 심하십니다. 여자랑 가든 남자랑 가든 막국수 강매가 심함. 이미 둘이서 먹기도 많은 양을 시켰는데...욕심이 과하신 것 같습니다. 그만 권해주세요.맛은 취향 탈 것 같아요. 보쌈 김치에 막국수 양념이 들어가는 듯 새콤달콤 시원한 거 좋아하심 좋아할 것 같아요.맛은 나쁘지않다고 보는데 일하시는 분들 태도가 너무 불쾌합니다. 갈 때마다 막국수 강매 손님들 얘기로 자기들끼리 떠들기가게가 작아서 그리고 제가 목소리가 좀 커서 손님들하는 얘기 들리는 건 이해하지만 손님들 얘기가지고 자기들끼리 뭐가 어떻네 저떻네 하는 거 불쾌합니다 적어도 뒤에서 몰래나 손님 나가고나서 해주세요.그리고 자세히는 안쓰겠지만 여자인친구 데려가고싶지않은 가게였습니다. 맛은 ...좋아하겠으나...
회기왕족발보쌈,가격은 좀 있지만보쌈이랑 막국수랑 정말 맛있는 곳
회기왕족발보쌈,보쌈 진짜 맛있어요! 족발 말고 보쌈드세요 한달에 1 2번은 꼭 먹으러가요!
회기왕족발보쌈,맛있음 굿고기가 촉촉해용
회기왕족발보쌈,족발보쌈시켰는데 김치 추가가 만이천원이네요.. 맛도 근10년 동안 먹은 족발중에서 가장 맛없네요.. 실망스러웠습니다.
회기왕족발보쌈,너무 맛있어요
회기왕족발보쌈,늘 맛있어요!!!배달해서 먹으니 더 좋아요
회기왕족발보쌈,음식은 맛있어요
회기왕족발보쌈,둘이서 먹으니까 소자 먹는데 소자 밥 시켰다고 다른 건 안 시켜요? 하고 언짢은 거 티내면서 꼽주더니 식은 족발 갖다줌. 김치 맛집이래서 기대했는데 엄청 맛있지도 않고 아래 식은 족발 후기 하나 있길래 아니겠지 했는데 개열받음 다신 안 감
회기왕족발보쌈,동네보쌈김치맛집
회기왕족발보쌈,사장님도 친절하시고 맛있어요
회기왕족발보쌈,솔직히 그렇게 존맛탱 아닙니다
회기왕족발보쌈,보쌈 굿 족발 굿김치 베리 굿하지만 김치 양이 살짝 적다..사람 많음시립대 후문 맛집 1위 인정재방문의사 유
회기왕족발보쌈,나도 보쌈 김치 최곤데 포장하면 막국수도 준다구요..
회기왕족발보쌈,이곳 김치를 못 먹어봤다면 인생을 손해본 것
회기왕족발보쌈,여기여기 보쌈 최고입니다 김치가 넘 맛있어요
회기왕족발보쌈,족발 냄새심하고 고기가 너무 딱딱함 암튼 과거랑 너무 심하게 변했네요 초심을 잃은듯하고 지금 위기일수록 더욱더 신경을 써야하는데 쫌 아쉽네요
회기왕족발보쌈,보쌈 .보쌈김치가 .최곤데 막국수도 맛있고 배추국이 .입가심용으로 딱
회기왕족발보쌈,배달로 먹어도 최고네요배달 가능지역 살아서 행복합니다.
회기왕족발보쌈,쫄깃한 족발이 맛있습니다. 잡내도 안나서 맛있게 먹었던 것 같아요.하지만 내부가 너무 시끄럽다는게 단점입니다.술을 다들 많이 먹는 분위기여서인지 많이 복잡하고 정신사나운게 단점이네요.
회기왕족발보쌈,여긴 보쌈이 맛집입니다. 보쌈김치 굿
회기왕족발보쌈,저는 족발은 별로 였어요 보쌈드세요!!족발 한번 보쌈 두번 먹었는데보쌈은 먹을 때 마다 감동이 있네요김치 사이로 씹히는 배와 무가 맛있습니다고기도 야들야들 부드럽구요시래기국 정말 맛있고사람들이 많아서 서빙이 프로페셔널 하지 않은데그래도 정이 있는 느낌이 있어서홀대받았다고 생각하진 않았어요기다린만큼 한 마디 더 챙겨주시는 느낌보쌈 먹고 싶으면 김치때문에 여길 갈것 같아요노포라 그런지 분위기도 좋습니다 술맛나는 분위기에요
회기왕족발보쌈,예전 회기족발이 아니고음식에 정성이 없네요?
회기왕족발보쌈,말이 필요 없다
회기왕족발보쌈,아니 어떻게 이럴 수 있나요? 내일 할아버지 생신이셔서 기분좋게 족발과 보쌈 시켜먹었는데 족발은 안오고 왠 막국수만 오고 국물은 다 줄줄 새고 머리카락까지 나오니 정말 화가 머리부터 발끝까지 났습니다. 그리고 분명 4시에 시켜서 6시까지 가져다달라고 요청했는데 7시30분에 왔습니다 이게 말이되나요? 더 어이없는건 배달을 무슨 택시타고 옵니까? 그리고 요즘같은시국엔 마스크끼고 와야하는건 당연한거 아닌가요? 정말 위생 맛 서비스 다 최악입니다. 이런집은 정말 처음이네요 다신 시켜먹지 않을겁니다. 서비스로 온 막국수는 불어터져 비벼지지도 않고 맛도 정말 없구요 정말 최악입니다 이런식으로 장사하지마세요
회기왕족발보쌈,진짜너무합니다사장님장사 이렇게하시면너무하죠먹구있는데걸레질하시고십분전에 나가라하시고이럴거면 그냥 12시반까지만.하시는게좋을것같네요 불친절에 불친절진짜 다시한번 생각해보셨으면합니다
회기왕족발보쌈,보쌈을 좋아해서 시켜먹었는데 양이 진짜 많고 고기식감이 부드럽고 맛있습니다보쌈하면 김치가 생명인데김치도 시원하고 맛있어요
회기왕족발보쌈,맛이 예전 같지 않음
회기왕족발보쌈,별 3개이상 준놈들 도대체 혓바닥이 없는거냐?식신로드 이런데 왜 방영한건지 알수가 없다뭐가 동네 맛집이고 오래된 맛집이야?구석진동네에 갇혀서 먹을데가 없는거냐?족발은 그냥 물에 삶아놨고국수는 말라서 냄새가 난다콩나물국은 생수에 그냥 콩나물 넣어놨고심지어는 부추무침도 나보다 못하던데이래도 손님있는게 아이러니하다이런 음식에 37000원 지불했다는게 너무나 아깝고 화가난다오목집 광장족발 가족 창신동족발 성수족발하나만 쳐묵어보고 다시 댓글달아라
회기왕족발보쌈,막국수 강매 당했지만 맛있네여. 저는 타이밍 잘 맞춘듯여.
회기왕족발보쌈,저도 21일 뎃글처럼 한낮에 시켰는데 팔다남은것처럼 보이고 검은색깔 보쌈은 누린내가 진동하더군요 지뢰가 있더군요 그냥참고 먹을정도가 아니더군요 온가족이 먹다 버렸습니다 주방장이 바뀐듯 사장님 푼돈 만지려다가 사람놓칩니다 단골로 10년이상 먹었는데 이젠 떠나보내야겠네요 최근단 뎃글처럼 고기가 고만고만해도 이름이 있어서 평타는 하실텐데 아쉽네요
회기왕족발보쌈,학교가 주변이라 가끔 왔었는데 오랜만에 갔더니 어제 팔다 남은 듯한 족발주더라고요 푸석하고 윤기 하나 없고 딱딱하고 살짝 냄새까지 나고......오늘로 방문하는 일 없을겁니다
회기왕족발보쌈,괜찮아요 양많고명성만큼의 맛집은 전혀아닙니다
회기왕족발보쌈,옛맛이 생각나서 오랜만에 갔는데 역시나 바로 그맛이네요.
회기왕족발보쌈,나의 인생보쌈누가 보쌈먹자하면 여기가 가장먼저 떠오름
회기왕족발보쌈,양 많고 맛있다!
회기왕족발보쌈,김치가 존맛!
회기왕족발보쌈,인생 보쌈.붐비는 시간임에도 인원이 둘뿐이었어도응대도 좋았음.보쌈은 두말할 나위도 없었음.
회기왕족발보쌈,보쌈에서 고깃내가 나고 느끼해요
회기왕족발보쌈,진짜 싸가지없음 젊은사람 소규모면 무시하는듯.. 장사잘되면 단가? 리뷰 잘 안남기는데 어떤면으론 대단하시네
회기왕족발보쌈,여긴 보쌈입니다 다시 한번 말하지만 여긴 보쌈이에요
회기왕족발보쌈,족발 소중대특 2만9천 4만원.보쌈 소중대특 2만9천 4만원.보쌈김치 9천원.쟁반막국수 1만5천원.막국수 7천원 11 00 01 00
회기왕족발보쌈,너무 좋아
회기왕족발보쌈,40대 이상 비추합니다.
회기왕족발보쌈,요근래 먹은 보쌈 중 가장 맛났던 곳.제대로 된 보쌈 김치를 먹을 수 있다.양념이 정말 맛난데 김치 안에 밤 배 무우가 한가득고기도 많이주시고 부드럽구!다만 아쉬운건 김치가 아주 약간 익은것과 짠것!!
회기왕족발보쌈,NAME?
회기왕족발보쌈,보쌈맛집으로 유명하대서 방문해봤는데 여러 리뷰에 나온것처럼 보쌈김치가 정말 괜찮음. 말그대로 보쌈김치여서 고급스럽기도하고 밤등도 들어있고 새콤달콤한 보쌈을 생각할때 기대하는 김치맛이었음. 다만 고기는 좀 두꺼운편임. 양도 푸짐하고 같이 나오는 쟁반국수등도 새콤달콤 좋았음. 재방문의사 있음.
회기왕족발보쌈,
회기왕족발보쌈,족발 보쌈
푸른하늘,라볶이 곱베기로 5500원에 배부르게먹기엔 좋음 24.10.07
푸른하늘,매장이 넓지 않아 점심시간에 사람 많아요. 매장 안은 정신 없어요.매장에서 먹어본적은 없지만 포장으로 김밥 주문하면 금방 나와요. 미리 싸두시고 주시는 것 같은데 그래도 맛있어요. 빨리 나와서 좋아요. 돈까스 김밥 4.500원인데 안에 치즈돈까스 들어가고 엄청 든든해요.점심에 시간 없을때 한줄 포장해서 먹으면 든든하고 좋아요.
푸른하늘,
푸른하늘,참치김밥 라볶이 찹쌀순대
푸른하늘,김밥에 돈까스 갓튀긴것
푸른하늘,맛보단 추억팔이 분위기나 가성비
푸른하늘,대혜자
푸른하늘,참치김밥이 진짜 크고 튼실해요! 김밥 때문에 갔는데 라볶이도 생각보다 맛있었구요 순대는 평범한 순대맛이었지만 두명이서 든든하게 넘 잘먹었습니다
푸른하늘,게 불친절함 기본적으로 매번 퉁명스러워서 내가 뭐 잘못한것 같은 기분
푸른하늘,대혜자!!
푸른하늘,참치김밥 맛있음라볶이 맛있음찾아갈 필요까진 없고근처에 일 있을 때나 간단히 먹기 좋음
푸른하늘,무난과 별로 그 사이 어디쯤
푸른하늘,맛은 평범하지만 지갑 얇을 때 가성비는 최고임. 이게 1만원.배터져
푸른하늘,라볶이 맛있고 가격이 싸요. 근데 김밥은 모르겠어요 .참치 많이 들긴했는데 짜고 별로에요 그리고 위생은 다들 아시죠 ? 가끔 치즈라볶이 땡길때만 가요
푸른하늘,왜 인기있는지 모를 맛
푸른하늘,원래이정도는 아니엇는데 김밥이 너무 부실해졌어요
푸른하늘,맛있어요양많아요빨리 나와요저렴해요.뭘 더 바래요???
푸른하늘,맛은 평범 양은 푸짐
푸른하늘,자주 갔던 곳 친절하고 맛있어요
푸른하늘,
푸른하늘,
푸른하늘,맛있지는 않지만 가성비 넘침 라볶이 사리추가가 무료여서 배고플때 좋음
푸른하늘,학교 다닐때 무조건 아침마다 사가던 추억의 분식집.. 책상에 무조건 한줄씩 올라가 있던 김밥!!싸고 양 많고 혼밥 하기에도 좋아요
푸른하늘,맛은 평범했는데 학교 앞답게 양이 푸짐하더군요 잘 먹고 왔습니다
푸른하늘,라볶이랑 참치김밥 맛있어요
푸른하늘,갓성비가 내리는 푸 하
푸른하늘,음식수준 2점위생수준 1.5점접객태도 마이너스생달은나온데는 거르는게 지능순
푸른하늘,라볶이는 별로예요참치김밥은 참치가 많았어요
푸른하늘,여기 맛있고 양 많고 값싸고! 맛양값! 일단 가시면 다들 라볶이 시키구요.. 돈까스김밥 돈까스 안에 치즈들어갔어요 맛있어요... 김치만두! 김치만두!
푸른하늘,최고예요 언제나
푸른하늘,싸고 많고 맛나고
푸른하늘,가성비 짱 양이 많고 재료를 아낌없이 넣어 맛있지만 위생에서 별 하나 깎음
푸른하늘,
푸른하늘,말해 뭐해 개쌈. 여럿이 가서 다 시켜먹고 4000원 내는 재미로 감. 밥이 좀 너무 찰지긴 한데.... 먹을만함
푸른하늘,난 푸른하늘이 좋아.. 일요일은 너무 슬퍼
푸른하늘,생활의 달인 은둔식당김밥달인동대문구 경희대로6길 3 4
푸른하늘,참치김밥을 꼭 먹어야해요!!김밥 속을 꽉꽉 채워 주셔서 한줄 먹으면 완전 배부르다.다른 분식 메뉴도 좋다. 친구들이랑 라볶이 먹으러가면 짱짱!
푸른하늘,그냥 김밥입니다.
푸른하늘,가성비 좋음
푸른하늘,방송보고 갔는데 그닥 특이한 점은 못 느낌신선한 재료 아낌없이 사용해서 건강한 음식이라고는 생각되어지나 맛은 글쎄..
크치치킨 회기점,순살치킨..파스타맛집 매운크림파스타 진짜 맛남 고추소스 치킨 별미별미 단점은... 술 주문할때마다 알바를 몇번씩 불러야 해서 술 흐름이 끊겨 별 하나 뺌
크치치킨 회기점,제기동점이 친절함 여긴 아버지인가 형이하는데 불친절함
크치치킨 회기점,가성비와 분위기 맛을 다잡았습니다 매우좋아요사장님이 친절하시고 핸썸하심 앞으로도 번창하세요 퐈이야
크치치킨 회기점,화이트 갈릭 어니언. 로제 파스타. 추천합니다. 존맛 메뉴들 . . . ♥
크치치킨 회기점,평일저녁 안경쓰신 알바분 일하시는데 손님 그렇게 뭣같은 표정과 말투로 응대하실꺼면 참으로 기분좋게 먹을 수 있을꺼 같아요! 평소에 참 맛있게 먹었는데 좋은 저녁시간 만들어주셔서 감사합니다
크치치킨 회기점,여기 정말정말 너무 추천해요. 깔끔하고 치킨도 아페타이저같은 과자도 같이 나온 샐러드도 다 너무 맛있는데 일단 센스가 넘쳐나요.. 집게 주는 것도 너무 좋구 알아서 리필하시는 것도 화장실 청소시간에 미리 알려주시고 마감 시간 다 돼도 눈치 주는 대신 편하게 있다 가시라고 하시고.치킨은 크치!!
크치치킨 회기점,수제맥주맛집
크치치킨 회기점,진짜 맛있어요!
크치치킨 회기점,
크치치킨 회기점,여기를 왜 인제 알았을까요
크치치킨 회기점,여길 왜 이제알았지짱 친절하시고 짱마싯슴다들 왜 순살 시키는진 모르겠지만 흐름따라서 시킴존맛탱탱 간장치킨 진짜 맛있슴그리고 저 안주과자? 맛있슴
크치치킨 회기점,하 여기 진짜 맛있었는데 .... 배고프다
크치치킨 회기점,일단 친절하다 그걸로 이집은 증명됐다
크치치킨 회기점,역시나 믿고 먹는 크치치킨!후라이드 양념 무난무난간장 맛있음어니언도 좋음솔직히 다른 치킨집이랑 비교하면 가격도 그렇고 구성도 비교하기가 미안할정도3년전에 자주갔었는데 최근에 먹어도 여전히 맛있었음
크치치킨 회기점,여기 치킨 파스타 다 맛있음.
크치치킨 회기점,분위기 아주 좋음. 양념 굿. 반반 플러스 깻잎 으로 먹을것. 한마리 두명에서 적당. 파스타튀김안주 간이 밍밍하지만 괜찮음.재방문의나 80퍼
크치치킨 회기점,고추크림 어니언 맛있네요
크치치킨 회기점,순살은 좀 냄새났어요 안주 종류도 적고요 그래도 구성과 양이 괜찮아서 한 번은 더 가보려고요
크치치킨 회기점,고추크림어니언 치킨 새로웠으나 나한테는 좀 매웠다!그래도 한번쯤 들려도 나쁘지 않은 곳
크치치킨 회기점,진짜 너무 맛있어요... 그냥 다 맛있어
크치치킨 회기점,고추크림어니언 쫀맛이에용
크치치킨 회기점,꼬추 크림 치킨
크치치킨 회기점,깻잎치킨 최곱니다
크치치킨 회기점,분위기 좋은 펍 느낌화장실이 매장 안에 있음화장실이 남녀 구분되어있고 깔끔함치킨 맛있음 깻잎 치킨 감칠맛 남맛있어용 !
여기가좋겠네,고기떢볶이
여기가좋겠네,주차가능하지않아요
여기가좋겠네,친구가 올때마다 여기 가자고 그래요맛있음
여기가좋겠네,괜히 대학가가 아님이 정도 양이 소자인데두명이서 먹어도 배부르고무엇보다 금액이 저렴함
여기가좋겠네,닭도리탕 이게 무슨맛인지??양념 더 넣어도 맛이 없던데 반 넘게 남김떡볶이는 간이 그나마 되어서 그걸로 밥 비벼먹음가격 착함
여기가좋겠네,여기가 양념이 좋네...
여기가좋겠네,가성비
여기가좋겠네,그렇게 좋진 않아..가성비는 굿
여기가좋겠네,닭볶음탕 생각날 땐 무조건 여기 ♥
여기가좋겠네,배민 포장 이용했어요. 고기떡볶이랑 닭볶음탕에 반찬 여긴 반찬도 맛있어요 ! 떡사리는 당일에 다 드시고 떢볶이 고기랑 닭볶음탕 합쳐서 덜어놓았다 데워드셔도 꿀맛이에요!매장 가서 주문하지 마시고 배민 앱 이용하시는 게 더 좋더라고요
여기가좋겠네,
여기가좋겠네,반찬도 맛있고 가성비도 아주 좋아요! 고기떡볶이도 별미라 닭요리랑 같이 시켜먹으면 맛있게 먹을 수 있어요.
여기가좋겠네,마시씀 가성비도 짱! 막바지에 고기에 국물이 완벽하게 배기게 되면 맛있음. 라면 떡사리 필수
여기가좋겠네,전반적으로 괜찮았던 집떡볶이도 맛있어요
여기가좋겠네,떡볶이는 5점. 닭 볶음탕은 별루 임.닭에서 냄새가 남.닭볶음탕은 굳이 안 먹어도 되는 맛임.닭볶음탕 소스와 떡볶이의 소스가 달라서 인 듯.신기한건 떡볶이 소스에 닭 찍어먹으면 맛있어짐.
여기가좋겠네,m 4s 2k 4b 3h 2
여기가좋겠네,반찬도 훌륭하고 맛있어요. 대학가이고 저렴해서 기대안했는데 훌륭합니다.
여기가좋겠네,맛있습니다. 가성비도 좋습니다.
여기가좋겠네,맛이 엄청 특출나지는 않지만 가성비 좋은 푸짐한 식사 하기에는 적합하다.
여기가좋겠네,가격도 싸고 양도 많고 좋네요
여기가좋겠네,
여기가좋겠네,가게가 넓고 가성비가 좋아요. 기억에 의존해서 불확실 전에는 마늘향이 더 많이 났던 것 같은데 마늘향이 줄어서인지 닭 냄새가 좀 나더군요. 하지만 대학가 가성비로는 무조건 추천
여기가좋겠네,아쉬운 게 많지만 맛은 좋다가격도 착하다
여기가좋겠네,닭볶음탕 소 _반마리라고합니다고기떡볶이주문학생들이많이오네요닭볶음탕 살짝매콤하나양념맛있구요쫄면추가해서먹었는데담에는 쫄면보다 라면을넣어먹어보고싶네용뭔가아쉽 고기떡볶이는궁금해서주문했는데 제육볶음떡볶이라고생각하면될듯합니다밥도가득주시고밑반찬도다섯가지나주셔서맛있게잘먹었습니다
여기가좋겠네,요즘 시대에굳이 현장에 앉아서 대기를...추운데 뭐하자는 건지전화예약도 안받고어플로 대기도 안하면그냥 현장서 대기 리스트 이름 적기라도 하지굳이 앉아서 대기를 ...참 불친절하네요맛도 닭도리탕은 좀 특이한 맛제 스타일은 아니였어요
여기가좋겠네,찜닭이 나은 것 같습니다닭도리탕은 아쉬웠어요
여기가좋겠네,개인적으로 닭도리탕보단 찜닭이 더 맛있네요
여기가좋겠네,닭이 넘 질기고 비린맛도 나요.. 특히나 양념이 닭살에 간이 안베고 겉돌아요직원한테 간이 인베서 좀 맛이 떨어진다라고 말했더니 살코기를 뜯어서 양념을 묻어서 먹으라고 하네요..헐.. 저는 이제 여기와는 아웃입니다가실분만 가시면 되겠어요..저희 후기가 도움이 되셨으면 합니다수고하세요
여기가좋겠네,맛있고 가성비짱이에요 밥도 가득 담아 주셔요
여기가좋겠네,닭목살 볶음 괜찮음.
여기가좋겠네,푸짐한 한끼로 굿굿식사시간 웨이팅 있을수있음국물떡볶이같은 느낌이랄까양념이 진득 녹진한걸 기대한다면 실망할수도 있음재방문의사있음
여기가좋겠네,고기떡볶이 레전드.닭은 엄청부드러웠는데 간이 잘안밴느낌
여기가좋겠네,고기는 야들야들했지만 잡내가 약간 났었고 국물은 최고의 맛은 아니며 평범했습니다닭도리탕에 당근이 안들어 간것도 의아했고 가격과가성비는 다른데에 비하면 좋았지만 무조건 골목식당을 믿고 가는것은 아닌듯 합니다.
여기가좋겠네,맛나요
여기가좋겠네,가성비가 좋음. 맛이 훌륭한지는 모르겠음. 혼자 소자 다 먹음.
여기가좋겠네,맛있어서 두번 감 . 존맛
여기가좋겠네,가격대비 훌륭회기를 처음 온 친구에게 가볍게 대접하기 좋은곳소자 기준 여자셋 or 남자둘 적합누구나 아는 맛가성비 굳
여기가좋겠네,아 존맛탱! 여기 왜 이제야 안거지???? 추천 하고 가염
여기가좋겠네,고기떡복기는 간이 너무 쎄구 자극적.. 닭보끔탕은 닭이 실하고 갠춘함 . 그러나 가성비가 내려오는 만큼 닭말고 야채가 적고 고구마가 없는 것 감안 요함. 걸목식당 때문에 가보고 싶으면 가보지만.. 주관적으론 주변 프랜차이즈 찜닭이 더 국굳..
여기가좋겠네,존맛 고기떡볶이 필수
여기가좋겠네,닭볶음탕 소에 고기 떡볶이 먹었는데 닭볶음탕에 떡들어있으니까 떡이 먹고싶으신분은 굳이 고기 떡볶이 안시켜도 될것 같아요! 여자 둘이 먹었는데 양은 밥 추가 안하고 적당했어요!
여기가좋겠네,머리카락나왔다고 말했더니 사과도 없이 바꿔준다고만하고 라면사리는 조리도 안들어갔는데 역시나 사과는 없더라구요 조리안들어갔으면 만들지말라고 했더니 갑자기 가지고 오시네요 맛을 떠나서 최악입니다
여기가좋겠네,가성비 넘 좋아요 성인남성 4인 대짜 맛있게 배부르게 먹었어요
여기가좋겠네,지갑이 여의치 않은 분들에겐 최고!
여기가좋겠네,고기떡볶이는 제육볶음 맛 같기도 하고닭볶음탕은 단짠 맛있음
여기가좋겠네,그냥 닭볶음탕.... 고기떡볶이가 더 맛있어요 웨이팅할 맛은 아니예요 양은 진짜 많긴 함
여기가좋겠네,고기떡볶이가 간이 쎄서 닭도리탕은 별 맛이 안나요보통 둘이 고떡 닭도 이렇게 시키는데 좀 많네요두 메뉴가 조화가 좀 아쉽고요티비 나온덕에 유명해진듯 . 특별한 맛 없어 재방문 의사는 없어요
여기가좋겠네,국물이 간장맛이 맛있게 나는게 좋아요
여기가좋겠네,서빙 핵불친절 반말하는걸로 모자라 나갈때 손님인 나만 인사하고 직원은 아무도인사안함. 심지어 맛도 너무달기만하고 별로. 매콤한 맛이 전혀조금도없어서 물리는 맛.
여기가좋겠네,맛있어요! 가성비 좋네요
여기가좋겠네,닭볶음탕 존맛..또 가고싶은 곳
여기가좋겠네,홍탁네집하고는 맛 차이가 나네요... 닭볶음탕 맛은 그냥 보통이고 간이 쎈 듯 고기떡볶이는 맛이 괜찮습니다 가성비를 생각해서 4점
여기가좋겠네,일단 친절하진 않았구요.닭에서는 냄새가 나네요... 저렴해서 그런가요 고기떡볶이는 맛있어서 2점 드립니다.
여기가좋겠네,사장님이 힘들어보엿어요... 친절하지 않으시고 그래도 닭볶음탕이랑 고기 떡복이 맛있어요
여기가좋겠네,짜고 짠데 계속 들어감볶음탕은 졸여서 먹어야 함
