StoreName,Sentiment,Category,Group Keywords,Representative Sentence
강남불백 3호점,Positive,맛,"최고의 맛, 불백 소스, 정갈한 기본찬, 불백정식, 맛있는 식사, 모든 메뉴, 불백 맛집, 양이 푸짐하다, 푸짐한 불백정식, 불고기 양념, 재방문하게 되는 맛집, 고소한 향, 먹기 편함, 양 많이, 말리장성, 감칠맛, 양념이 쏙 베여있다, 간이 잘 맞았다, 반찬 다양, 음식 맛, 음식 맛도 맛있어서, 불낙정식, 푸짐한 식사, 밥은 두 그릇 정도, 불백 맛있게, 불향이 은은하게 풍기는, 맛있다, 재료 신선하다, 된장찌개, 불향좋은 맛, 맛있어서, 불맛, 신선한 음식, 깔끔한 실내, 깔끔, 정갈함, 양이 넉넉하다, 푸짐하게 나오다, 입에도 찹찹 감기네요, 불향의 깊은 풍미, 된장찌개 넘 맛있음",불백정식과 된장찌개 등 다양한 메뉴가 재료가 신선하여 불맛까지 어우러져 양도 푸짐하고 맛있는 식사를 경험할 수 있습니다.
강남불백 3호점,Positive,서비스,"친절, 사장님이 친절하게, 사장님도 늘 친절하세요, 깔끔하고 친절해요, 친절하다, 직원 친절, 친절한 직원들, 친절한 서비스, 특별한 서비스, 친절한 직원, 청결도, 서비스 친절하다",사장님과 직원들이 항상 친절하게 응대하여 고객들에게 좋은 서비스를 제공합니다.
강남불백 3호점,Positive,가성비,"가성비 좋은 밥집, 가격도 합리적, 저렴하게 한 끼하기, 가성비도 좋고, 알차게 주는 집, 가격 부담스럽지 않음, 양도 많고 푸짐해요, 가성비 좋다고요, 양이 많아요, 푸짐한 양, 가격에 비해 푸짐하다, 만원으로 푸짐한 점심, 가격 대비 훌륭한 맛, 가성비 최고, 가격착함, 점심 식사장소에는 가격부담이 없습니다",가격 대비 푸짐한 양을 제공하여 가성비 최고인 점심 식사 장소로 추천됩니다.
강남불백 3호점,Positive,위생,"음식이 깔끔하고, 식사 깔끔함, 미식식기 청결, 위생 상태, 청결한",
강남불백 3호점,Positive,분위기,"분위기, 편안함, 흑미밥, 정감있는 분위기, 세련된 매장, 박수",
강남불백 3호점,Negative,맛,"고기 퀄리티, 찌개의 야채, 반찬, 고기잡내, 맛, 고기 누린내, 기름짐, 다소 짜거나 기름지다, 고기 오버쿡, 불백 그저그렇고, 밑반찬 일정하지 않음, 고기 딱딱함","고기 잡내와 누린내가 심하고, 찌개 및 밑반찬의 맛이 일정하지 않으며 다소 짜거나 기름져 맛이 그저 그렇습니다."
강남불백 3호점,Negative,위생,"위를 향상시키다, 무기질 관리",
강남불백 3호점,Negative,서비스,"직원분 불친절, 일하시는 분들 태도, 손님 속이려고 해서, 서비스 신경, 친절","직원들이 불친절하고, 서비스에 신경을 쓰지 않아 손님을 속이려는 듯한 태도가 보입니다."
강남불백 3호점,Negative,분위기,매장 꽉 차있다,
강남불백 3호점,Negative,가성비,"밥양, 된찌 양, 밥 한공기 부족하다, 밥 양 적음, 가성비",밥양이 부족하며 가성비가 좋지 않아서 만족도가 떨어집니다.
거복이식당,Positive,맛,"고기 질이 정말 좋아요, 두툼한 고기, 순두부 맛, 잡내 없음, 고기 신선, 삼겹살의 퀄리티, 고기의 질이 좋다, 순두부찌개 맛있고, 된장 술밥 맛있습니다, 맛있어서, 맛나게 먹었어요, 순두부 찌개 존맛탱임, 고기 양 많음, 순두부찌개 맛, 고기가 맛나용, 공기밥 주문 필수, 양이 많아요, 고기질, 고기가 신선하다, 고기 맛, 맛있어요, 자주 올 것 같아요, 잡내가 없고, 너무 맛있다, 고기 야들야들하고 맛있어유, 밑반찬 다양성, 고기 맛있어요, 고기 구워줌, 고기 질, 재방문하고 싶어요, 고기 직접 구워주시고, 순두부찌개 맛있다, 기대 이상으로 맛있어요, 고기 맛있음, 치맛살 맛, 맛있습니다, 얼큰한 짬뽕, 친구들이랑 맛있게 먹음, 맛있게 먹고 갑니다, 고기 빈찬 맛있게, 삼겹살 맛있습니다, 맛있는 돼지고기구이, 고기 질 너무 좋아요, 맛있게 먹다, 아이들도 맛있게 먹음, 순찌 맛있고, 소문이 자자해서, 고기맛",고기의 질과 맛이 매우 신선하고 잡내가 없어 삼겹살 및 다양한 메뉴들이 맛있습니다.
거복이식당,Positive,위생,"테이블 깨끗, 매장도 깨끗하고, 매장 깔끔, 깔끔하고, 반찬 깔끔",매장이 깔끔하고 테이블이 깨끗하여 위생 상태가 좋습니다.
거복이식당,Positive,서비스,"직원분들도 친절하셔서, 직원 친절하시고, 직원분들 친절하시고, 직접 구워주시다, 서비스로 나오는 순두부찌개, 친절한 서비스, 직원분도 친절하세요, 직원 서비스, 직원 친절함, 친절하게 맞아주다, 웃으면서 식사, 친절하시고, 구워주셔서 좋고, 직접 구워주시고, 항상 오는 곳, 직원이 친절함, 직원 친절, 구워주시고, 직원, 사장님 서비스, 직접 구워줌, 친절",직원분들이 친절하고 직접 고기를 구워주는 서비스가 좋습니다.
거복이식당,Positive,분위기,"분위기, 테라스 자리, 야장느낌, 부담없는 매장, 좋은 장소, 소주 한잔하기 좋은",분위기가 좋아 테라스 자리에서 소주 한잔하기에 좋습니다.
거복이식당,Positive,가성비,"가격도 합리적입니다, 가격, 양도 푸짐하고, 가성비, 가성비 좋다, 양, 양도 많고, 가격 저렴, 가격이 싸요, 가격대비 잘 나오는",합리적인 가격과 푸짐한 양으로 가성비가 뛰어납니다.
거복이식당,Negative,서비스,"표정, 서비스, 서빙하시는 외국인분, 손님을 바라보는 눈빛",
거복이식당,Negative,위생,,
거복이식당,Negative,맛,,
거복이식당,Negative,분위기,,
거복이식당,Negative,가성비,,
고냉지,Positive,맛,"돼지고기 토핑, 보쌈도 맛있다, 국물이 시원하다, 김치찌개, 돼지김찌, 김치찌개의 맛, 신김치 맛의 김치찌개, 보쌈 살코기 양, 김치찌개 맛, 김치찌개 깔끔하다, 계란말이 크고 맛있음, 김치찌개 맛있다, 계란말이 진짜 맛있음, 찌개 맛, 계란말이가 거대함, 돼지김치, 기름지지 않은 김치찌개, 달걀말이, 맛있는 김치찌개, 맛집, 집밥 같은 찐맛집, 젤 맛있는, 계란말이 비쥬얼, 수육 부드럽고, 아삭아삭 배추, 순두부, 보쌈, 계란말이 두툼, 겨울에 더 맛있는 김치찌개, 김치찌개 토핑이 다양하다, 혼밥하기 좋은, 싱싱하고 맛있는 고기, 김치찌개 맛있었어요, 나물밥, 푸짐","고냉지의 김치찌개는 시원하고 깔끔한 맛으로 유명하며, 특히 계란말이와 보쌈도 큰 인기를 끌고 있습니다."
고냉지,Positive,서비스,"사장님 친절하다, 리필 서비스, 학생들이 없어서, 혼자 먹는데 한상을 차려주셔서, 혼밥도 눈치 안줌, 직원분들 친절, 친절한 서비스, 친절함, 세심한 서비스, 사장님 친절, 직원들 잘 챙기는, 혼밥 친절, 사장님 엄청 친절, 직원분들도 친절하시구, 사장님 친절함","직원들이 매우 친절하고 세심하게 챙겨주는 서비스가 인상적이며, 특히 혼밥 때도 편안하게 이용할 수 있습니다."
고냉지,Positive,위생,,
고냉지,Positive,분위기,"혼밥 가능, 동네 식당, 집밥같아요, 집밥 느낌, 집 근처, 푸근한 분위기, 한산한 분위기",
고냉지,Positive,가성비,"정말 푸짐해요, 가격도 괜찮은 것 같아요, 맛도 좋았어요, 양이 진짜 많음, 정식 추천, 푸짐하다, 가성비 갑이다, 가성비 좋고 맛보장","풍성한 메뉴와 괜찮은 가격대로 가성비가 뛰어나며, 맛 또한 훌륭하여 정식 메뉴를 추천드립니다."
고냉지,Negative,맛,"엄청 맛있진 않음, 최악의 음식, 무난한 맛, 즉석으로 끓이는 김치찌개는 진한 맛이 없음, 밋밋하다, 김치찌개 맛, 김치찌개가 사알짝 아쉬웠음, 계란말이 맛","김치찌개와 계란말이의 맛이 밋밋하고 최악으로 평가되며, 전반적으로 엄청 맛있지는 않다는 의견이 많습니다."
고냉지,Negative,위생,"머리카락, 화장실 청소, 김 개별접시 제공, 위생 부분에 약간의 아쉬움, 위생",위생적인 부분에서 머리카락 발견과 화장실 청소 미비 등이 언급되어 아쉬움이 남습니다.
고냉지,Negative,서비스,"손님들 챙기기 부족, 계산할 때 미안하다 잘먹었냐 없음, 손님 대응, 반말, 아주머니 응대","손님 응대가 부족하고 친절하지 않다는 지적이 있으며, 계산 시에도 고객 응대가 다소 아쉬운 점이 있습니다."
고냉지,Negative,분위기,"가게 내부 협소, 내부가 넓은 편이 아님, 시끌시끌한 내부, 혼자 떠드는 여자 손님",가게 내부가 협소하고 시끌시끌한 분위기 때문에 불편함을 느낄 수 있습니다.
고냉지,Negative,가성비,"정식 가격 저렴 아님, 보쌈 구성은 좋지만 그냥 보쌈만 시키면 가성비 나락, 가격이 올라 아쉽다, 좀 비싸다","가격 대비 가성비가 좋지 않으며, 특히 보쌈의 경우 구성은 좋지만 단품으로 시켰을 때 만족스럽지 않습니다."
공복식당 신촌점,Positive,맛,"계란찜, 포삼겹 특목살, 함초소금도 맛있고, 된장찌개공기밥항정살 조합, 맛있는 식사, 항정살 추천, 고기 too 맛있어요, 둘 다 맛있다, 천겹살 목살 등심덧살, 맛도 너무 좋았어서, 고기나 사이드 모두 고퀄 그 자체, 항정살 존맛탱구리, 김치 맛, 고기 맛, 누릉지와 찌개 일품, 반찬 맛있다, 고기 직접 구워주셔서 편하게 먹을 수 있어요, 맛있어요, 맛도 괜찮다, 멜젓 초심자들 반할맛, 고기 맛, 맛도 좋아요, 고기가 쫄깃하고 담백하다, 포삼겹과의 조합, 고기 질 좋고 맛 좋음, 젤 맛있는, 고기 맛있고 질도 좋음, 사이드 메뉴 맛, 매장에서 직접 구워주셔서, 맛있어용, 고기 맛집, 공복 존맛탱, 삼겹살 맛, 맛있는 고기집, 맛있게 먹었습니다, 고기 담백하고 물리지 않는 맛","항정살과 삼겹살이 맛있고, 특히 된장찌개와 조합이 좋습니다."
공복식당 신촌점,Positive,위생,"위생 걱정 없다, 가게 내부 깔끔, 매장도 쾌적하고 넓어요, 매장 청결, 깔끔한 메뉴구성",매장이 깔끔하고 청결하여 위생 걱정이 없습니다.
공복식당 신촌점,Positive,서비스,"직접 다 구워주셔서 편하게 먹을 수 있어요, 친절하게 응대해주셔서, 직원분들 너무 친절, 직접 구워주심, 친절하게 리필 챙겨주다, 항상 친절, 직원분들이 너무 친절해서 좋았어요, 직원분들 친절, 친절한 서비스, 사장님 엄청 친절하시고, 사장님 친절, 직원 친절함, 친절하시고, 사장님들 유니크하다, 사장님 친절, 친절한 사장님과 직원",직원들의 친절한 서비스와 직접 구워주는 점이 매우 인상적입니다.
공복식당 신촌점,Positive,분위기,"인테리어 멋짐, 분위기, 음악, 가게 내부 넓고 인테리어 마음에 듦, 편안한 분위기, 노래, 깔끔하다, 시끄러운 분위기",편안한 음악과 멋진 인테리어가 있는 아늑한 분위기입니다.
공복식당 신촌점,Positive,가성비,"가격대비 만족, 가성비, 가격 싸고 맛있다, 착한가격, 돈 아깝지 않다",가격 대비 훌륭한 가성비로 만족스러운 경험을 제공합니다.
공복식당 신촌점,Negative,맛,"개맛없어짐, 맛집인지 모를, 소금간, 반찬 맛, 유명할 맛인지는 의문, 고기 양념, 조금 짜다는 정도, 고기 질, 항정살 맛, 맛이 달다",고기 양념이 짜고 항정살 맛이 기대에 미치지 못해 전반적으로 맛이 부족하였습니다.
공복식당 신촌점,Negative,위생,"레스토랑 청결, 위생이좀, 반찬 재탕",
공복식당 신촌점,Negative,서비스,"식당 인성, 직원의 태도, 직원 부르기, 서비스 태도, 집게 불편함",직원의 태도가 불친절하고 고객의 요청에 잘 응답하지 않습니다.
공복식당 신촌점,Negative,분위기,"음악 분위기, 자리 추움, 시끄러움, 시끌시끌한 분위기, 내부 소음",음악이 시끄럽고 내부 소음이 심하여 편안한 분위기를 느끼기 어렵습니다.
공복식당 신촌점,Negative,가성비,"가격 대비 품질, 고기 양, 양이 적다, 양이 적다는 느낌, 가격 정책, 학생 지갑에 살짝 아픔, 비용 상승, 가성비, 가격 인상","가격 대비 고기 양과 품질이 부족하며, 전반적인 가성비가 낮습니다."
김광석신촌칼국수,Positive,맛,"맛 여전히 좋습니다, 맛있었는데, 백김치, 따끈한 칼국수, 칼칼해요, 국물맛, 또 생각나는 곳, 국물 깔끔함, 칼국수 추천, 여전히 맛있어요, 국물이 칼칼하다, 먹음직스러움, 해장 하러 갔다가, 재방문의사, 맛있게 잘먹었습니다, 칼칼하고, 재방문, 국물 끝내준다, 음식이 맛있었어요, 칼칼하고, 얼큰하다, 번창하세요, 찐맛집, 또 오려구요, 최고강점, 말이필요없음, 날씨에 딱인 곳, 얼큰한 버섯 칼국수, 볶음밥 맛있어요, 겨울에 오기 딱이다, 맛있네요, 맛나네요, 국물, 볶음밥이 압권입니다, 남자친구가 만족하였습니다, 맛나게, 소고기, 다대기, 음식, 볶음밥도 맛있어요, 볶음밥 맛, 마늘이 많이 들어가 얼큰하고 깔끔한, 추천, 부드러워서 좋아요, 자극적이지 않음, 국물 깔끔하고, 존맛탱, 얼큰하다, 맛있었습니다, 국물맛이 진하다, 맛있, 국물이 깔끔하고 칼칼하다, 고기가 신선하다, 다른 샤브집이랑 다르게, 음식도 맛있어요, 맛있음, 조합이 최고, 맛있어용, 면이 진짜 맛있어요, 깔끔하다, 감탄만 나오는 맛, 훌룡했습니다, 소고기샤브, 믿고 먹습니다, 추천드립니다, 소고기 부드러움, 볶음밥이 찐이다, 양념 맛있어요, 한국적인 매운맛, 느글한 속을 시원 하게 풀어줍니다, 고기 칼국수, 맛도 좋아서, 최고, 무난한맛, 달지 않다, 맛있게 먹다, 마무리 볶음밥, 마늘향, 맛있던 집, 백김치 맛, 국물 맛있고","칼칼하고 따끈한 국물 맛과 부드러운 소고기 샤브샤브가 인상적인 곳으로, 신선한 재료 덕분에 음식의 맛이 끝내줍니다."
김광석신촌칼국수,Positive,서비스,"사장님이 친절하시고, 직원분들이 필요한 것 미리 챙겨 주시고, 친절하고 맛있어요, 친절하시고, 친절하다",
김광석신촌칼국수,Positive,위생,"깔끔하다, 국물 깔끔하고, 마늘이 많이 들어가 얼큰하고 깔끔한, 다대기도 깔끔한 맛, 국물 깔끔함","국물과 다대기의 깔끔한 맛이 특징으로, 식당의 전반적인 위생 상황이 좋습니다."
김광석신촌칼국수,Positive,가성비,"가성비, 가격도 괜찮고, 배부르게 먹을 수 있어요, 면 리필 가능, 가성비 좋다, 혜자식당, 고기도 가성비 있어서, 맛과 가성비, 가성비 있게 먹을 수 있음",면 리필이 가능하고 가격 대비 맛과 양이 훌륭하여 가성비가 뛰어난 식당입니다.
김광석신촌칼국수,Positive,분위기,"조용히 먹을 수 있었습니다, 날씨에 딱인 곳, 겨울에 오기 딱이다, 편하게 먹을 수 있는 곳, 겨울에 생각나용",날씨가 쌀쌀한 겨울에 특히 생각나는 조용하고 편안한 분위기의 식당입니다.
김광석신촌칼국수,Negative,맛,"맛 변화, 맛도 없다, 소고기, 볶음밥, 국물 깊이, 재료 인색하다, 감자만두 한두알 빼셨네요, 계란이 안들어간다는 점, 된장맛, 숙취, 마늘맛, 호주산 냉동 소고기, 매움, 재료가 덜 들어가다, 맛, 맛없다, 된장국같다, 국물 맛","이 식당의 소고기 요리는 호주산 냉동 소고기를 사용해 맛이 변화되고, 개운치 않은 된장국 같은 국물 맛으로 실망스러웠습니다."
김광석신촌칼국수,Negative,위생,"화장실에 보관, 위생, 정신이 없음, 옷에 냄새",
